Strategy,text,arabic_label,allam_output
Zero-Shot,كتاب رائع . من أين حصلت عليه يانجيب,اندهاش,فرح
Zero-Shot,أعجبتني طريقة وصف المعركة,فرح,إعجاب
Zero-Shot,الرواية في المجمل جميلة وتستحق القراءة,فرح,"""فرح"""
Zero-Shot,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,غضب,حزن
Zero-Shot,رواية بوليسية مكتوبة بحرفية عالية,فرح,"""فرح"""
Zero-Shot,اكره الإضاءة الساطعة فهي تجعلني اتعب كثيرا,غضب,اشمئزاز
Zero-Shot,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,غضب,حزن
Zero-Shot,لقد دمروا بلدي العراق، وقتلوا وأذلوا شعبي.,غضب,حزن
Zero-Shot,كيف يمكنك اكل شيء كهذا,اشمئزاز,غضب
Zero-Shot,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,اندهاش,مفاجأة
Zero-Shot,لا تتحدث وفمك به طعام,اشمئزاز,غضب
Zero-Shot,أغلق نوافذ السيارة فالرائحة سيئة هنا,اشمئزاز,خوف
Zero-Shot,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,اندهاش,خوف
Zero-Shot,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,اندهاش,مفاجأة
Zero-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,فرح,غضب
Zero-Shot,فَإِنَّكَ كَاللَيلِ الَّذي هُوَ مُدرِكي ... وَإِن خِلتُ أَنَّ المُنتَأى عَنكَ واسِعُ خَطاطيفُ حُجْنٌ في حِبالٍ مَتِينَةٍ ... تَمُدُّ بِها أَيْدٍ إِلَيْكَ نَوازِعُ,خوف,حزن
Zero-Shot,نَجُذُّ رُؤُوسَهُمْ فِي غَيْرِ بِرٍّ ... فَمَا يَدْرُونَ مَاذَا يَتَّقُونَا بِأَنَّا نُورِدُ الرَّايَاتِ بِيضاً ... وَنُصْدِرُهُنَّ حُمْراً قَدْ رَوِينَا,غضب,حزن
Zero-Shot,يَفُورُ الدَّمُ الغَضْبَانُ بَيْنَ جَوَانِحِي ... كَمَا فَارَ تَنُّورٌ بِنَارٍ تَوَقَّدُ وَإِنِّي لَأَطْوِي الصَّدْرَ مِنْ شِدَّةِ اللَّظَى ... وَلَوْ بَاحَ سَيْفِي لَاسْتَحَالَ التَّجَلُّدُ,غضب,"غضب

الشرح: النص يحتوي على كلمات"
Zero-Shot,تَفَجَّرَ فِي صَدْرِي لَهِيبٌ مُسَعَّرٌ ... فَكَادَ مِنْ فَوْرَاتِ غَيْظِي يُقْهَرُ الحَجَرْ     إِذَا مَا اسْتُفِزَّ الحُرُّ هَبَّ كَأَنَّهُ ... رِيَاحُ هَلَاكٍ لَا تُبَالِي مَنْ تَذَرْ,غضب,"غضب

الشرح: النص يحتوي على مشاعر"
Zero-Shot,إِنْ جَالَ فِي قَوْمٍ تَنَفَّسَ كُلُّهُمْ ... ضِيقًا، كَأَنَّ الهَوْءَ مِنْ عَفَنٍ عَكِرْ,اشمئزاز,حزن
Zero-Shot,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,اندهاش,حزن
Zero-Shot,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,اندهاش,حزن
Zero-Shot,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,اندهاش,حزن
Zero-Shot,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,اندهاش,حزن
Zero-Shot,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,اندهاش,حزن
Zero-Shot,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,اندهاش,غضب
Zero-Shot,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,خوف,حزن
Zero-Shot,وتركت أنْتَنْ ريحة مَدْمومَة,اشمئزاز,غضب
Zero-Shot,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,خوف,غضب
Zero-Shot,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,خوف,حزن
Zero-Shot,الريحة هنا صعبة قوي,اشمئزاز,غضب
Zero-Shot,يعع ، بتاكلوا الحاجات دي ازاي,اشمئزاز,غضب
Zero-Shot,مفيش مية في الشقة من الصبح وأنا متضايق جدًا.,غضب,حزن
Zero-Shot,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,اندهاش,مفاجأة
Zero-Shot,مش هقدر أكل الأكل دا شفت دبانة وقفت عليه,اشمئزاز,غضب
Zero-Shot,مش مصدق انك سافرت مخصوص,اندهاش,غضب
Zero-Shot,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,غضب,حزن
Zero-Shot,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,اندهاش,غضب
Zero-Shot,كان عندي امتحان صعب، بس الحمد لله حليت منيح.,فرح,حزن
Zero-Shot,الكهربا قطعت بالليل واضطرينا نشغل الشموع.,حزن,خوف
Zero-Shot,كتجي يا خويا البرد الناس مكرفصة,حزن,غضب
Zero-Shot,الفيلم ديال  مون بيغ نيبا موغت ديال المخرج هادي الفضلي الحمد لله,فرح,غضب
Zero-Shot,تصور ديك الكلبه كتسناني عارفه ديك الخميس كتسناني ا فوا كنخرج كنهبط انا ويا من الجامع,اندهاش,غضب
Few-Shot,كتاب رائع . من أين حصلت عليه يانجيب,اندهاش,فرح
Few-Shot,أعجبتني طريقة وصف المعركة,فرح,إعجاب
Few-Shot,الرواية متكاملة حتى في اختياره الساخر العبقري لاسماء الابناء,فرح,سخرية
Few-Shot,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,غضب,اشمئزاز
Few-Shot,رواية بوليسية مكتوبة بحرفية عالية,فرح,مفاجأة
Few-Shot,اكره الإضاءة الساطعة فهي تجعلني اتعب كثيرا,غضب,اشمئزاز
Few-Shot,أكره حياة المدن بسبب الضجيج و انبعاثات السيارات و الازدحامات,غضب,اشمئزاز
Few-Shot,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,غضب,حزن
Few-Shot,لقد دمروا بلدي العراق، وقتلوا وأذلوا شعبي.,غضب,حزن
Few-Shot,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,اندهاش,مفاجأة
Few-Shot,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,اندهاش,خوف
Few-Shot,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,اندهاش,مفاجأة
Few-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,فرح,غضب
Few-Shot,فلم أَرَ مثلي عاشِقاً ذا صبابةٍ    ولا مثلَها معشوقَةً ذاتَ بهجَةِ,فرح,حب
Few-Shot,إِنْ جَالَ فِي قَوْمٍ تَنَفَّسَ كُلُّهُمْ ... ضِيقًا، كَأَنَّ الهَوْءَ مِنْ عَفَنٍ عَكِرْ,اشمئزاز,غضب
Few-Shot,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,اندهاش,خوف
Few-Shot,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,اندهاش,مفاجأة
Few-Shot,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,اندهاش,حزن
Few-Shot,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,اندهاش,حزن
Few-Shot,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,اندهاش,تعجب
Few-Shot,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,اندهاش,اشمئزاز
Few-Shot,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,خوف,حزن
Few-Shot,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,خوف,غضب
Few-Shot,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,خوف,حب
Few-Shot,يعع ، بتاكلوا الحاجات دي ازاي,اشمئزاز,غضب
Few-Shot,مفيش مية في الشقة من الصبح وأنا متضايق جدًا.,غضب,حزن
Few-Shot,القطر وصل متأخر خمس ساعات والناس كانت مستنية على الرصيف.,غضب,مفاجأة
Few-Shot,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,اندهاش,مفاجأة
Few-Shot,مش مصدق انك سافرت مخصوص,اندهاش,مفاجأة
Few-Shot,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,غضب,حزن
Few-Shot,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,اندهاش,غضب
Few-Shot,الكهربا قطعت بالليل واضطرينا نشغل الشموع.,حزن,خوف
Few-Shot,الما مقطوع من الصباح، ما عرفناش علاش بالضبط.,حزن,غضب
