Strategy,Emotion_Class,Total Tested,Precision (%),Recall/Accuracy (%),F1-Score (%)
Zero-Shot,"""فرح""",0,0.0,0.0,0.0
Zero-Shot,إعجاب,0,0.0,0.0,0.0
Zero-Shot,اشمئزاز,12,80.0,33.3,47.1
Zero-Shot,اندهاش,14,0.0,0.0,0.0
Zero-Shot,حزن,17,48.4,88.2,62.5
Zero-Shot,خوف,16,80.0,75.0,77.4
Zero-Shot,غضب,17,36.4,47.1,41.0
Zero-Shot,"غضب

الشرح: النص يحتوي على كلمات",0,0.0,0.0,0.0
Zero-Shot,"غضب

الشرح: النص يحتوي على مشاعر",0,0.0,0.0,0.0
Zero-Shot,فرح,24,94.7,75.0,83.7
Zero-Shot,مفاجأة,0,0.0,0.0,0.0
Few-Shot,إعجاب,0,0.0,0.0,0.0
Few-Shot,اشمئزاز,12,71.4,83.3,76.9
Few-Shot,اندهاش,14,0.0,0.0,0.0
Few-Shot,تعجب,0,0.0,0.0,0.0
Few-Shot,حب,0,0.0,0.0,0.0
Few-Shot,حزن,17,68.2,88.2,76.9
Few-Shot,خوف,16,76.5,81.2,78.8
Few-Shot,سخرية,0,0.0,0.0,0.0
Few-Shot,شكر,0,0.0,0.0,0.0
Few-Shot,غضب,17,53.3,47.1,50.0
Few-Shot,فرح,24,94.7,75.0,83.7
Few-Shot,مفاجأة,0,0.0,0.0,0.0
