`,Text (Arabic Sentence),Category,Annotator 1 (Joy/Anger/Sadness/Fear/Surprise/Disgust),Annotator 2 (Joy/Anger/Sadness/Fear/Surprise/Disgust),Final Gold Reference,source,Dialect,Arabic Glod refrence
1,لم أجد رواية لا أستسيغها قدرهذه الرواية,Modern Standard Arabic (MSA),Disgust,Disgust,Disgust,من بعض التعليقات عن رواية أولاد حارتنا لنجيب محفوظ (goodreads),,اشمئزاز
2,استمتعت بهذه الرواية جدا,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية أولاد حارتنا لنجيب محفوظ (goodreads),,فرح
3,كتاب رائع . من أين حصلت عليه يانجيب,Modern Standard Arabic (MSA),Surprise,Surprise,Surprise,من بعض التعليقات عن رواية أولاد حارتنا لنجيب محفوظ (goodreads),,اندهاش
4,أعجبتني طريقة وصف المعركة,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية أولاد حارتنا لنجيب محفوظ (goodreads),,فرح
5,الرواية في المجمل جميلة وتستحق القراءة,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية أولاد حارتنا لنجيب محفوظ (goodreads),,فرح
6,كانت اللغة و الحبكة و كل شيء جميل,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية أولاد حارتنا لنجيب محفوظ (goodreads),,فرح
7,أسلوب الكاتب شيق كالعادة,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية يوتوبيا لأحمد خالد توفيق (goodreads),,فرح
8,أشعر بحزن وضيق من بعض أحداثها,Modern Standard Arabic (MSA),Sadness,Sadness,Sadness,من بعض التعليقات عن رواية يوتوبيا لأحمد خالد توفيق (goodreads),,حزن
9,الرواية متكاملة حتى في اختياره الساخر العبقري لاسماء الابناء,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية بداية ونهاية لنجيب محفوظ (goodreads),,فرح
10,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,Modern Standard Arabic (MSA),Sadness,Anger,Anger,من بعض التعليقات عن رواية بداية ونهاية لنجيب محفوظ (goodreads),,غضب
11,رواية لا تخرج منها الا بحالة عميقة من الاكتئاب,Modern Standard Arabic (MSA),Sadness,Sadness,Sadness,من بعض التعليقات عن رواية بداية ونهاية لنجيب محفوظ (goodreads),,حزن
12,رواية بوليسية مكتوبة بحرفية عالية,Modern Standard Arabic (MSA),Joy,Joy,Joy,من بعض التعليقات عن رواية تراب الماس لأحمد مراد (goodreads),,فرح
13,اكره الإضاءة الساطعة فهي تجعلني اتعب كثيرا,Modern Standard Arabic (MSA),Anger,Anger,Anger,https://ar.quora.com/,,غضب
14,أكره حياة المدن بسبب الضجيج و انبعاثات السيارات و الازدحامات,Modern Standard Arabic (MSA),Anger,Anger,Anger,من رواية بين القصرين لنجيب محفوظ,,غضب
15,حسبي ما كان، لن أسمح لك بتلويث سمعتي من جديد,Modern Standard Arabic (MSA),Anger,Anger,Anger,twitter,,غضب
16,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,Modern Standard Arabic (MSA),Anger,Anger,Anger,twitter,,غضب
17,لقد دمروا بلدي العراق، وقتلوا وأذلوا شعبي.,Modern Standard Arabic (MSA),Anger,Anger,Anger,twitter,,غضب
18,كيف يمكنك اكل شيء كهذا,Modern Standard Arabic (MSA),Disgust,Disgust,Disgust,twitter,,اشمئزاز
19,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,Modern Standard Arabic (MSA),Surprise,Surprise,Surprise,twitter,,اندهاش
20,​نتقدم بخالص العزاء والمواساة لعائلة الفقيد,Modern Standard Arabic (MSA),Sadness,Sadness,Sadness,twitter,,حزن
21,توفي الكاتب الكبير الدكتور نبيل فاروق، أشهر كاتب خيال علمي في مصر,Modern Standard Arabic (MSA),Sadness,Sadness,Sadness, جريدة الشروق,,حزن
22,هذا هو أجمل شي رأيته علي الإطلاق,Modern Standard Arabic (MSA),Joy,Joy,Joy,twitter,,فرح
23,فى كل يوم كنت أخشى أن أفتح هاتفى وأن أرى أسماء جديدة من أصدقائى ومعارفى وأقاربى من الشهداء,Modern Standard Arabic (MSA),Fear,Fear,Fear,https://youtu.be/28GmCQwDBqs?si=wuV5oCeNb9ZoQRuY,,خوف
24,هل سأكون أنا الشهيدة القادمة؟,Modern Standard Arabic (MSA),Fear,Fear,Fear,https://youtu.be/28GmCQwDBqs?si=wuV5oCeNb9ZoQRuY,,خوف
25,لا تتحدث وفمك به طعام ,Modern Standard Arabic (MSA),,Disgust,Disgust,A team member,,اشمئزاز
26,أغلق نوافذ السيارة فالرائحة سيئة هنا,Modern Standard Arabic (MSA),,Disgust,Disgust,A team member,,اشمئزاز
27,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,Modern Standard Arabic (MSA),,Surprise,Surprise,A team member,,اندهاش
28,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,Modern Standard Arabic (MSA),,Surprise,Surprise,Generated by gemini,,اندهاش
29,تجمّد صوتي في حلقي، وأخذ قلبي يخفق بعنفٍ عندما انطفأت الأنوار فجأةً وبقيتُ وحدي أسمع همساتٍ غامضة من حولي.,Modern Standard Arabic (MSA),,Fear,Fear,Generated by chat GPT,,خوف
30,وفجأةً، انطفأت جميع الأنوار، وساد صمتٌ مرعب لم يقطعه سوى صوت أنفاسي المتسارعة ونبضات قلبي التي كادت تخلع صدري!,Modern Standard Arabic (MSA),,Fear,Fear,Generated by gemini,,خوف
31,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,Modern Standard Arabic (MSA),,Anger,Anger,Generated by gemini,,غضب
32,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,Modern Standard Arabic (MSA),,Joy,Joy,Generated by gemini,,فرح
33,شعرتُ بأنَّ الدنيا كلَّها تبتسم لي، وكأنَّ قلبي يرقص فرحًا عندما سمعتُ نبأ نجاحه أخيرًا.,Modern Standard Arabic (MSA),,Joy,Joy,Generated by chat GPT,,فرح
34,وَلَقَدْ بَكَيْتُ عَلَى شَبابِكَ حِقْبَةً  حَتَّى كَبُرْتَ وَلَيْتَ أَنْ لَمْ تَكْبُرِ,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/quote1843.html,,حزن
35,بيني وبين اللحد ساعةُ غفلةٍ  أصحو.. وحولي ضجةٌ ونحيبُ,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/quote1840.html,,حزن
36,وَلَكِنّي إِمرُؤٌ لِلناسِ ضِحكي    وَلي وَحدي تَباريحي وَحُزني,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/quote1618.html,,حزن
37,همٌّ يضيقُ الليلُ عن حملِهِ    لو حُمِّلَتهُ الشمسُ لم تطلعِ,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/quote1572.html,,حزن
38,ضقنا وضاقت بنا الدنيا        وبغضها للقلب هم له بالقلب تنكيل,Classical Arabic,,Sadness,Sadness,https://www.aldiwan.net/quote1411.html,,حزن
39,فلم أَرَ مثلي عاشِقاً ذا صبابةٍ    ولا مثلَها معشوقَةً ذاتَ بهجَةِ,Classical Arabic,,Joy,Joy,https://www.aldiwan.net/quote25.html,,فرح
40,وخائفٍ جَمِّ الحِذارِ مُرْملِ. أشعثَ عجلانَ صدوفِ المَنْهلِ. ينغْضُه الخوفُ كنغض أفْكلِ,Classical Arabic,,Fear,Fear,https://www.aldiwan.net/poem15625.html,,خوف
41,فَإِنَّكَ كَاللَيلِ الَّذي هُوَ مُدرِكي ... وَإِن خِلتُ أَنَّ المُنتَأى عَنكَ واسِعُ خَطاطيفُ حُجْنٌ في حِبالٍ مَتِينَةٍ ... تَمُدُّ بِها أَيْدٍ إِلَيْكَ نَوازِعُ,Classical Arabic,,Fear,Fear,https://www.aldiwan.net/poem1983.html,,خوف
42,صَفَحْنَا عَنْ بَنِي ذُهْلٍ ... وَقُلْنَا القَوْمُ إِخْوَانُ فَلَمَّا صَرَّحَ الشَّرُّ ... وَأَمْسَى وَهْوَ عُرْيَانُ مَشَيْنَا مِشْيَةَ اللَيْثِ ... غَدَا وَاللَيْثُ غَضْبَانُ بِضَرْبٍ فِيهِ تَفْضِيعٌ ... وَطَعْنٍ فِيهِ إِخْضَارُ,Classical Arabic,,Anger,Anger,https://www.toarab.ws/m/poems/print/339/11/%D8%A7%D9%84%D9%81%D9%86%D8%AF-%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%86%D9%8A/%D8%B5%D9%81%D8%AD%D9%86%D8%A7-%D8%B9%D9%86-%D8%A8%D9%86%D9%8A-%D8%B0%D9%87%D9%84-%D9%88%D9%82%D9%84%D9%86%D8%A7-%D8%A7%D9%84%D9%82%D9%88%D9%85-%D8%A5%D8%AE%D9%88%D8%A7%D9%86/,,غضب
43,نَجُذُّ رُؤُوسَهُمْ فِي غَيْرِ بِرٍّ ... فَمَا يَدْرُونَ مَاذَا يَتَّقُونَا بِأَنَّا نُورِدُ الرَّايَاتِ بِيضاً ... وَنُصْدِرُهُنَّ حُمْراً قَدْ رَوِينَا,Classical Arabic,,Anger,Anger,https://www.aldiwan.net/poem311.html,,غضب
44,يَفُورُ الدَّمُ الغَضْبَانُ بَيْنَ جَوَانِحِي ... كَمَا فَارَ تَنُّورٌ بِنَارٍ تَوَقَّدُ وَإِنِّي لَأَطْوِي الصَّدْرَ مِنْ شِدَّةِ اللَّظَى ... وَلَوْ بَاحَ سَيْفِي لَاسْتَحَالَ التَّجَلُّدُ,Classical Arabic,,Anger,Anger,Generated by gemini,,غضب
