Strategy,text,arabic_label,jais_output
Zero-Shot,كتاب رائع . من أين حصلت عليه يانجيب,اندهاش,فرح
Zero-Shot,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,غضب,حزن
Zero-Shot,رواية بوليسية مكتوبة بحرفية عالية,فرح,مفاجأة
Zero-Shot,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,غضب,حزن
Zero-Shot,لقد دمروا بلدي العراق، وقتلوا وأذلوا شعبي.,غضب,حزن
Zero-Shot,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,اندهاش,فرح
Zero-Shot,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,اندهاش,خوف
Zero-Shot,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,اندهاش,مفاجأة
Zero-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,غضب,قهر
Zero-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,فرح,قهر
Zero-Shot,وخائفٍ جَمِّ الحِذارِ مُرْملِ. أشعثَ عجلانَ صدوفِ المَنْهلِ. ينغْضُه الخوفُ كنغض أفْكلِ,خوف,
Zero-Shot,فَإِنَّكَ كَاللَيلِ الَّذي هُوَ مُدرِكي ... وَإِن خِلتُ أَنَّ المُنتَأى عَنكَ واسِعُ خَطاطيفُ حُجْنٌ في حِبالٍ مَتِينَةٍ ... تَمُدُّ بِها أَيْدٍ إِلَيْكَ نَوازِعُ,خوف,حزن
Zero-Shot,يَفُورُ الدَّمُ الغَضْبَانُ بَيْنَ جَوَانِحِي ... كَمَا فَارَ تَنُّورٌ بِنَارٍ تَوَقَّدُ وَإِنِّي لَأَطْوِي الصَّدْرَ مِنْ شِدَّةِ اللَّظَى ... وَلَوْ بَاحَ سَيْفِي لَاسْتَحَالَ التَّجَلُّدُ,غضب,
Zero-Shot,قَذَرٌ تَمَشَّى فِي ثِيَابِ تَنَسُّكٍ ... تَعَافُهُ نَفْسِي وَيَلْفِظُهُ البَصَر لَوْ غُسِّلَ المَرْءُ اللَّئِيمُ بِأَبْحُرٍ ... لَبَقَى عَلَى وَجْهِ المِيَاهِ لَهُ أَثَر,اشمئزاز,
Zero-Shot,إِنْ جَالَ فِي قَوْمٍ تَنَفَّسَ كُلُّهُمْ ... ضِيقًا، كَأَنَّ الهَوْءَ مِنْ عَفَنٍ عَكِرْ,اشمئزاز,حزن
