Strategy,text,arabic_label,gemini_output
Zero-Shot,كتاب رائع . من أين حصلت عليه يانجيب,اندهاش,فرح
Zero-Shot,روايه مملة لم استطع اكمالها بسبب رتابة الاحداث,غضب,اشمئزاز
Zero-Shot,اكره الإضاءة الساطعة فهي تجعلني اتعب كثيرا,غضب,اشمئزاز
Zero-Shot,أكره حياة المدن بسبب الضجيج و انبعاثات السيارات و الازدحامات,غضب,اشمئزاز
Zero-Shot,لقد دمروا حياتي ولا أستطيع الحصول على وظيفة,غضب,حزن
Zero-Shot,سبحان الله كيف اخضرت المنطقة. أنا في هذا المكان منذ خمسةَ عشرَ سنةً,اندهاش,مفاجأة
Zero-Shot,كنت أسير بجانب الطريق ففاجأتني سيارة تتحرك بسرعة و أفزعتني,اندهاش,خوف
Zero-Shot,وفجأةً، انفتح الباب الذي ظلّ مغلقاً لقرون، ليخرج منه ضوءٌ ساطعٌ لم يسبق لبشرٍ أن رآه,اندهاش,مفاجأة
Zero-Shot,أحكمتُ قبضتي بشدة حتى ابيضّت مفاصلي، وحاولتُ كتمان صرخةٍ مكتومة كادت أن تنفجر من شدة القهر والظلم,فرح,غضب
Zero-Shot,طَرَقْتَ بِأَمْرٍ لَمْ يَكُنْ فِي الحُسْبَانِ ... كَبَرْقٍ سَرَى فِي صَحْوَةِ الفَجْرِ حَانِي وَقَفْتُ مَشْدُوهاً أُكَذِّبُ نَاظِرِي ... أَحَقٌّ مَا أَرَى أَمْ طَيْفُ جَانِ؟,اندهاش,مفاجأة
Zero-Shot,أَأَنْتَ حَقًّا؟ أَمْ خَيَالٌ زَائِرٌ ... أَرْبَكَ الفُؤَادَ وَزَلْزَلَ الأَوْهَامَا؟         مَا كِدْتُ أُبْصِرُ حَتَّى طَارَ مُنْدَهِشًا ... عَقْلِي، وَخِلْتُ الكَوْنَ قَدْ هَوَى قِيَامَا,اندهاش,مفاجأة
Zero-Shot,أَجابَ دَمعي وَما الداعي سِوى طَلَلِ ... دَعا فَلَبّاهُ قَبلَ الرَكبِ وَالإِبِلِ,اندهاش,حزن
Zero-Shot,طَلَلٌ وَقَفتُ عَلى رباه نائِحاً    غَربَ المَدامِع مِثلَ فَيضِ غَمامِ,اندهاش,حزن
Zero-Shot,فَيَا عَجَباً مِنْ كورها المُتَحَمَّلِ,اندهاش,مفاجأة
Zero-Shot,عَجِبَت عُبَيلَةُ مِن فَتىً مُتَبَذِّلِ      عاري الأَشاجِعِ شاحِبٍ كَالمُنصُلِ,اندهاش,مفاجأة
Zero-Shot,يقضي ليالٍ بين ظلم وظلمة        طريد الكرى في جوف أغبر مطبق,خوف,حزن
Zero-Shot,جمَدَت نَفُوسُهُم فلمًا جئتها أَجْرَيْتها وسَقَيْتها الفولاذ,خوف,غضب
Zero-Shot,يَخفِقُ عِندَ نَظْرتهِ فُؤَادي    لأَنَّ سَوادَهُ من مُقلتَيهِ,خوف,فرح
Zero-Shot,ايه الجمال دا ،  ازاي قدروا يبنوا فندق بالحجم دا,اندهاش,مفاجأة
Zero-Shot,مش مصدق انك سافرت مخصوص,اندهاش,مفاجأة
Zero-Shot,السيارة خربت أمس واضطريت أوديها الورشة للإصلاح.,حزن,غضب
Zero-Shot,كارهه نفسي وكل شي مو جالس يصير بالشكل الصحيح,غضب,اشمئزاز
Zero-Shot,معقول أنت اللي عملت هالشي   لهلأ مو مستوعب,اندهاش,مفاجأة
Zero-Shot,الكهربا قطعت بالليل واضطرينا نشغل الشموع.,حزن,غضب
Zero-Shot,كيلبسوك سير تسوق طيح ولا ماطيحش ولا تكركب ولا يهرب لك العاود ذاك الشي كامل ماكيعرفوش هما,غضب,خوف
Zero-Shot,الما مقطوع من الصباح، ما عرفناش علاش بالضبط.,حزن,غضب
